"ID","Task","Session","N.Sessions","Counterbalance","Trial","Stimulus.1","Stimulus.2","Structure","Reversal","Response"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",81,"re_60_M_s_w_academic_70","F_s_w_academic_70","WW",60,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",82,"re_40_M_s_w_incapable_70","F_s_w_incapable_70","WW",40,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",83,"re_40_M_s_w_certificate_70","F_s_nw_certificate_70","WN",40,"Different"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",84,"re_40_M_s_w_department_70","F_s_w_department_70","WW",40,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",85,"re_40_M_s_w_acceptable_70","F_s_nw_acceptable_70","WN",40,"Different"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",86,"re_40_M_s_nw_nobody_70","F_s_nw_nobody_70","NN",40,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",87,"re_40_M_s_nw_predicament_70","F_s_nw_predicament_70","NN",40,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",88,"re_60_M_s_w_interrupted_70","F_s_w_interrupted_70","WW",60,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",89,"re_40_M_s_nw_extraordinary_70","F_s_w_extraordinary_70","NW",40,"Different"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",90,"re_60_M_s_w_propaganda_70","F_s_nw_propaganda_70","WN",60,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",91,"re_60_M_s_nw_propaganda_70","F_s_w_propaganda_70","NW",60,"Different"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",92,"re_40_M_s_w_predicament_70","F_s_w_predicament_70","WW",40,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",93,"re_40_M_s_w_extraordinary_70","F_s_w_extraordinary_70","WW",40,"Same"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",94,"re_40_M_s_w_electricity_70","F_s_nw_electricity_70","WN",40,"Different"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",95,"re_40_M_s_w_contemporary_70","F_s_nw_contemporary_70","WN",40,"Different"
"TIMETIME.001","LTRS",1,2,"LTRS_CB2_4060_24items",96,"re_40_M_s_nw_predicament_70","F_s_w_predicament_70","NW",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",1,"re_40_M_s_w_department_70","F_s_nw_department_70","WN",40,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",2,"re_40_M_s_nw_understandable_70","F_s_w_understandable_70","NW",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",3,"re_40_M_s_nw_capacity_70","F_s_nw_capacity_70","NN",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",4,"re_40_M_s_w_capacity_70","F_s_w_capacity_70","WW",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",5,"re_40_M_s_w_certificate_70","F_s_w_certificate_70","WW",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",6,"re_60_M_s_nw_academic_70","F_s_w_academic_70","NW",60,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",7,"re_40_M_s_w_certificate_70","F_s_nw_certificate_70","WN",40,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",8,"re_60_M_s_nw_establishment_70","F_s_w_establishment_70","NW",60,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",9,"re_40_M_s_w_acceptable_70","F_s_w_acceptable_70","WW",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",10,"re_60_M_s_nw_satisfactory_70","F_s_w_satisfactory_70","NW",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",11,"re_60_M_s_w_decorated_70","F_s_w_decorated_70","WW",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",12,"re_40_M_s_nw_acceptable_70","F_s_w_acceptable_70","NW",40,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",13,"re_40_M_s_nw_nobody_70","F_s_w_nobody_70","NW",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",14,"re_40_M_s_nw_acceptable_70","F_s_nw_acceptable_70","NN",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",15,"re_40_M_s_w_predicament_70","F_s_w_predicament_70","WW",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",16,"re_40_M_s_nw_capacity_70","F_s_w_capacity_70","NW",40,"Different"
